"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)","dates"
"71",72,79,1.20101540516118,0.0144313624536601,1.17289505384504,1.17737691862782,1.19125034908776,1.20095760339351,1.21071745017287,1.22485105869526,1.22946423856301,2020-05-15
"72",73,80,1.21350139790907,0.0142332129315399,1.18576326792515,1.19018513843427,1.20387115079971,1.21344575102942,1.22307098304088,1.23700747386205,1.24155576397711,2020-05-16
"73",74,81,1.22769319892968,0.0140282602814968,1.20035045065787,1.20471025243678,1.21820238256951,1.22763976794654,1.23712576890379,1.25085840327316,1.25533959057702,2020-05-17
"74",75,82,1.22132186247371,0.0136933604218439,1.19462907918987,1.19888590944332,1.21205814827493,1.22127068657746,1.23052978860389,1.24393238104771,1.24830547369904,2020-05-18
"75",76,83,1.23410078529926,0.0134611377903172,1.20785678411248,1.2120429723125,1.22499490538056,1.23405184252378,1.24315331151926,1.25632554644983,1.26062292382998,2020-05-19
"76",77,84,1.26937099527095,0.0133492331803161,1.24334019892539,1.24749356138565,1.26034174914666,1.26932420021544,1.27834922896774,1.2914080512491,1.29566772369124,2020-05-20
"77",78,85,1.25158434285841,0.0129401176715738,1.22634913260507,1.23037607461265,1.2428322283516,1.25153974722633,1.2602878425784,1.27294473076531,1.2770729860736,2020-05-21
"78",79,86,1.24806118374697,0.0125944768484094,1.22349705965377,1.22741761874651,1.23954340427097,1.24801881940033,1.25653278080935,1.26884925729201,1.27286606062316,2020-05-22
"79",80,87,1.19772344577696,0.0120345349119347,1.17425092964687,1.17799738079627,1.18958445461162,1.19768313898646,1.2058184975202,1.21758700079509,1.22142502178556,2020-05-23
"80",81,88,1.15718237384296,0.0115573860238387,1.13463984048496,1.13823801481167,1.14936620480796,1.157143897516,1.16495659888792,1.17625797903736,1.1799435647225,2020-05-24
"81",82,89,1.14572569152237,0.0112804126003838,1.12372187002322,1.12723441908193,1.13809712430446,1.14568867074203,1.15331390147472,1.16434324512547,1.16793989880939,2020-05-25
"82",83,90,1.11545064517366,0.010951591529497,1.09408794239788,1.09749821571437,1.10804450280293,1.11541480415209,1.12281771636245,1.13352533153355,1.137017029275,2020-05-26
"83",84,91,1.09801936058349,0.0107120016686134,1.07712337864218,1.0804592973358,1.090775363388,1.09798452624551,1.10522538400657,1.11569824684414,1.1191133029605,2020-05-27
"84",85,92,1.07445445396351,0.0104721462564234,1.05402626748466,1.05728752741094,1.06737267653477,1.07442043197543,1.08149914318238,1.0917374325314,1.09507598436641,2020-05-28
"85",86,93,1.07971196841384,0.0103957918707173,1.05943155999678,1.06266950604598,1.07268204584125,1.07967860399257,1.08670551960441,1.09686823977705,1.10018198386693,2020-05-29
"86",87,94,1.07553244817806,0.0102904098324046,1.05545702970395,1.05866238841455,1.06857389962683,1.07549962971677,1.0824552205108,1.09251445461844,1.09579437104903,2020-05-30
"87",88,95,1.0697995077724,0.0101797988079075,1.04993937453928,1.05311047968327,1.06291585141767,1.06976721893481,1.07664796526373,1.08659867594451,1.08984313560032,2020-05-31
"88",89,96,1.1739774276471,0.0105819572554083,1.15332766241219,1.15662605211179,1.16682278150444,1.17394563337305,1.18109741405475,1.19143725626012,1.19480787693736,2020-06-01
"89",90,97,1.18287706140924,0.0105141512422901,1.16235836344934,1.16563611566239,1.17576849625734,1.18284590943739,1.18995166701407,1.200224269283,1.20357279328273,2020-06-02
"90",91,98,1.19926295986359,0.010413031059203,1.17893956527054,1.18218660395724,1.19222314623243,1.19923282170512,1.2062699191283,1.21644211968795,1.21975762696586,2020-06-03
"91",92,99,1.19096237728007,0.0101866097943019,1.17107964089126,1.17425657517866,1.18407587463752,1.19093333450167,1.19781721965594,1.20776724686028,1.21101016123399,2020-06-04
"92",93,100,1.21240975731571,0.0100799918768103,1.19273283202921,1.19587742712059,1.20559576525517,1.21238182236511,1.21919329677775,1.22903737608929,1.23224543448708,2020-06-05
"93",94,101,1.21889736032557,0.0099090796858896,1.1995523324081,1.20264430042173,1.21219923192927,1.21887050833107,1.22556621667919,1.23524201474774,1.23839498578883,2020-06-06
"94",95,102,1.18397423650019,0.00956187026405039,1.16530656350609,1.16829038379888,1.17751089919017,1.183948495791,1.19040951320737,1.19974589302738,1.2027881917041,2020-06-07
"95",96,103,1.22525273254051,0.00952732666379225,1.2066497817507,1.2096239046667,1.2188132591506,1.22522803841668,1.23166528623392,1.24096579424329,1.24399601789506,2020-06-08
"96",97,104,1.17497241887052,0.00914520818815268,1.15711565375103,1.15997046559148,1.16879120509964,1.17494869220505,1.18112776759609,1.19005530589297,1.19296402057252,2020-06-09
"97",98,105,1.20806617751287,0.00908346110034214,1.19032769819499,1.19316414298241,1.20192713010444,1.20804341137895,1.21418040697365,1.22304586932746,1.22593403480235,2020-06-10
"98",99,106,1.19144922092395,0.00885059513336719,1.17416472848531,1.17692876069565,1.18546769991589,1.19142730565844,1.19740685153712,1.20604443604894,1.20885825592472,2020-06-11
"99",100,107,1.20599464971452,0.00872764196801056,1.18894868721613,1.19167495365358,1.20009652519235,1.20597359613911,1.21186982319083,1.22038616137044,1.22316025786883,2020-06-12
"100",101,108,1.15895771036722,0.00838833951661267,1.14257444722928,1.1451947222506,1.15328888439254,1.15893747263673,1.16460447466964,1.17278973116018,1.17545598278469,2020-06-13
"101",102,109,1.11644139116874,0.0080765951330111,1.10066696827711,1.10318987435259,1.11098324676311,1.11642191524367,1.12187830436583,1.12975934207597,1.13232649406532,2020-06-14
"102",103,110,1.13979088936024,0.00803546831659665,1.12409538522534,1.12660600457718,1.13436080480666,1.13977200620033,1.1452003888926,1.15304018625949,1.15559370487032,2020-06-15
"103",104,111,1.15204267108322,0.00797266136934088,1.13646886606799,1.13896025243154,1.14665521504169,1.15202427964961,1.15741007814624,1.16518782452891,1.1677209930377,2020-06-16
"104",105,112,1.15855731416113,0.00788079524268039,1.14316207600387,1.14562510742663,1.15323210353502,1.15853944516648,1.16386304533223,1.17155047360399,1.17405410028395,2020-06-17
"105",106,113,1.15002373976145,0.00773135030557089,1.13491986087724,1.13733641783984,1.14479962267861,1.15000641443288,1.15522897005331,1.16277015989837,1.16522607700477,2020-06-18
"106",107,114,1.16898723231893,0.00767328896757103,1.15399562505388,1.15639449478262,1.16380256691011,1.16897044308132,1.17415359534255,1.18163723941668,1.18407425138666,2020-06-19
"107",108,115,1.18688698156634,0.00761043926130462,1.17201706840495,1.17439672716397,1.18174499052218,1.18687071530411,1.19201124033357,1.19943272161469,1.20184933450827,2020-06-20
"108",109,116,1.15594557339046,0.00738145085301818,1.14152289150994,1.14383102327074,1.15095833347908,1.15592986166888,1.160915685544,1.16811371756931,1.17045754364471,2020-06-21
"109",110,117,1.14290872517535,0.00721095999945689,1.12881864433024,1.13107367295299,1.13803677569633,1.14289355982858,1.14776414251359,1.15479550772425,1.15708498939383,2020-06-22
"110",111,118,1.14951328908029,0.00711871879671471,1.13560265857963,1.13782915505855,1.14470381003349,1.14949859415314,1.15430674880247,1.16124754878564,1.16350742960122,2020-06-23
"111",112,119,1.11183404360819,0.00689742463641871,1.09835591316662,1.10051316798115,1.10717405968984,1.11181978058084,1.11647847902725,1.1232035716708,1.12539322962006,2020-06-24
"112",113,120,1.09288279761432,0.00674259419522444,1.07970700024855,1.08181591690763,1.08832746044468,1.09286893139004,1.09742301884993,1.10399697722643,1.10613739555272,2020-06-25
"113",114,121,1.06382774729504,0.00657686978521257,1.05097587372579,1.05303292423803,1.05938435945998,1.06381419399868,1.06825636032705,1.074668801833,1.07675664309406,2020-06-26
"114",115,122,1.02627876213929,0.00640125289737629,1.01377039652017,1.0157723858817,1.02195395901687,1.02626545323281,1.03058905687469,1.03683053624268,1.03886276114061,2020-06-27
